mileage,price,Bike name,Types and Used  Time,description
2 miles,"$14,999 ",TRACER 9 GT,New 2022 Yamaha Sport Touring,"2022 YAMAHA TRACER 9 GT,    Top Features"
,"$8,999 ",YZF-R7,New 2022 Yamaha Sportbike,"2022 Yamaha YZF-R7,   2022 Yamaha YZF-R7 for sale at Riva Motorsports Miami"
,"$13,990 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT, 2022 Yamaha Tracer 9 GT"
,"$3,999 ",TT-R230,New 2022 Yamaha Dirt Bike,"2022 Yamaha TT-R230, 2022 Yamaha TT-R230"
,"$5,799 ",XMAX,New 2022 Yamaha Scooter,"2022 Yamaha XMAX,   2022 Yamaha XMAX for sale at Riva Motorsports & Marine Florida Keys IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 48 months credit approval. Other options available. Contact us to apply."
,"$9,499 ",MT-09,New 2022 Yamaha Standard,"2022 Yamaha MT-09,   2022 Yamaha MT-09 for sale at Riva Motorsports Miami As low as  with approved credit. Payment is based on 5.99% APR for 60 months credit approval. Other options available. Contact us to apply."
"3,990 miles","$9,010 ",Tracer 900 GT,  2019 Yamaha Sport Touring,"2019 Yamaha Tracer 900 GT, 2019 Yamaha Tracer 900 GT"
2 miles,"$14,199 ",MT-10,New 2023 Yamaha Standard,"2023 YAMAHA MT-10,    Top Features"
,"$1,497 ",PW50,New 2023 Yamaha Dirt Bike,
,"$1,997 ",TT-R110E,New 2023 Yamaha Dirt Bike,
,"$3,399 ",TT-R 125LE,New 2023 Yamaha Dirt Bike,"2023 YAMAHA TT-R 125LE, Cool New Off-Road Arrival. FOR SALE! #YamahaPowersports #YamahaLetsRide #CapitalPowersports. Our Sales prices do not include state sales tax, vehicle tag/title/registration costs, dealer documentation charge, factory freight and (if applicable) fuel surcharges, and dealer assembly & inspection costs for this vehicle. Contact our sales dept for more detail. Dealer Suggested Retail Price or listed Sale Price includes any factory incentives applicable at time of sale. Note: Sales Team can let you know about similar units or future shipments if this one is sold. 75% of all vehicles are pre-selling before arrival! Zero down / low down finance available for all new vehicles sold at Capital Powersports on approved good credit. Credit problems, no worry, we have options for that too! We have a new state of the Art Service Dept using certified Platinum, Gold, & Silver level powersport technicians for diagnostic, repair, new unit assembly & prep., and inspection facility. All units are inspected by a certified technician before sale. We do not let hourly lot workers assemble our units. Only fully certified technicians, cost us more, but guarantees higher quality and customer satisfaction! Model availability, pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Extended protection plans, Pre-Paid Maintenance plans, Gap, Tire & Wheel, Theft, available on all new vehicles as applicable. Note: For the most accurate information on our vehicles for sale and our great deals go to our website at www.capitalpowersports.com or contact our Sales Team at 919-719-0700 direct for all the details. We are not responsible for incorrect pricing or availability information if you have found this unit on search engine site that is not connected to us directly or the vehicle in store has had a change in factory incentives that are not reflected in this add. Se habla espanol! We buy and take in on trade Motorcycles, Personal Watercraft, ATV’s, & UTV’s! Find us on Facebook, Google, and Instagram too! info@capitalhps.com[Update: Since early 2020 when the pandemic began, and the subsequent production, supplier, fuel increases and logistical challenges in transportation, costs have continued to rise making it challenging for all dealers in final pricing. Freight costs, and Fuel Surcharges continue to change, so we recommend direct contact with our internet sales or on location sales staff to get the current exact cost information. We NEVER charge more than what the factory charges us to our customers. No inflated fees here! You can view the current factory costs via each manufacture website under model details. Thank you.]"
1 miles,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 YAMAHA TT-R110E, SALE PRICE INCLUDES FACTORY TO DEALER INCENTIVES!Sale price is based on the manufacturer's suggested retail price (MSRP) and is subject to change.Sale price excludes destination charges, optional accessories, applicable taxes, installation, setup and/or other dealer fees.Some pictures may have options that are not included in the price!Accessories not priced in listed MSRP – call for complete details and pricing!   Top Features  Engine Features"
,"$1,699 ",PW50,New 2023 Yamaha Dirt Bike,"2023 YAMAHA PW50,    Top Features  Engine Features  Chassis/Suspension Features"
,"$1,699 ",PW50,New 2023 Yamaha Dirt Bike,"2023 YAMAHA PW50,    Top Features  Engine Features  Chassis/Suspension Features"
,"$1,699 ",PW50,New 2023 Yamaha Dirt Bike,"2023 YAMAHA PW50,    Top Features  Engine Features  Chassis/Suspension Features"
,"$4,095 ",TT-R230,New 2023 Yamaha Dirt Bike,"2023 YAMAHA TT-R230, Cool New Off-Road Arrival. FOR SALE! #YamahaPowersports #YamahaLetsRide #CapitalPowersports. (Manufacturer’s Suggested Retail Price) price includes any factory incentives applicable at time of sale. Our Sales prices do not include state sales tax, vehicle tag/title/registration fees, dealer documentation fee, or factory freight or surcharges, or dealer set-up costs if they apply to this vehicle. Note: Sales Team can let you know about availability if this unit gets sold or potential option. 95% of all vehicles are pre-selling before arrival! We have a new state of the Art Service Dept with certified Gold & Silver level powersport technicians for assembly, prep., and inspection facility and all units are inspected by certified technician before sale. Model availability, pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Extended protection plans, Pre-Paid Maintenance plans, Gap, Tire & Wheel available on all new vehicles as applicable. The pricing, equipment, specifications, and photos presented are believed to be accurate to the best of or knowledge and are subject to change without notice. Note: For the most accurate information on our vehicles for sale and our great deals go to our website at www.capitalpowersports.com or contact our Sales Team at 919-719-0700 direct for all the details. We are not responsible for incorrect pricing or availability information if you have found this unit on search engine site that is not connected to us directly. Se habla espanol. We buy and take in on trade Motorcycles, Personal Watercraft, ATV’s, & UTV’s! Find us on Facebook and Instagram too! info@capitalhps.com [Update: Since early 2020 when the pandemic began, and the subsequent production, supplier, and logistical challenges in transportation, continual increases in both Freight and Surcharges, and high fuel cost, have continued to rise making it challenge for all dealers in pricing. Freight and Surcharges continue to change so we recommend direct contact with our internet sales or on location sales staff to get the current exact cost information. We apologize for these continued cost increases. We NEVER charge more than what the factory charges us to our customers. You can view the current information via each manufacture website under model details.]   Top Features"
,"$8,899 ",WR250F,New 2023 Yamaha Dirt Bike,
1 miles,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 YAMAHA TT-R110E, SALE PRICE INCLUDES FACTORY TO DEALER INCENTIVES!Sale price is based on the manufacturer's suggested retail price (MSRP) and is subject to change.Sale price excludes destination charges, optional accessories, applicable taxes, installation, setup and/or other dealer fees.Some pictures may have options that are not included in the price!Accessories not priced in listed MSRP – call for complete details and pricing!   Top Features  Engine Features"
,"$1,699 ",PW50,New 2023 Yamaha Dirt Bike,"2023 YAMAHA PW50,    Top Features  Engine Features  Chassis/Suspension Features"
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R110E, 2023 Yamaha TT-R110E"
,"$8,799 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Dirt Bike,"2023 Yamaha YZ250F Monster Energy Yamaha Racing Edition, NEW 2023 IN STOCK  2023 Yamaha YZ250F Monster Energy Yamaha Racing Edition"
,"$2,299 ",TT-R110E,New 2023 Yamaha Dirt Bike,"2023 Yamaha TT-R110E, 2023 Yamaha TT-R110E"
,"$12,699 ",YZF-R6 RACE,New 2023 Yamaha Sportbike,
1 miles,"$1,749 ",TT-R50E CA,New 2022 Yamaha Dirt Bike,"2022 YAMAHA TT-R50E CA, Advertised pricing excludes applicable taxes title and licensing, dealer set up, A.D.M, destination, reconditioning and are subject to change without notice. Pricing may exclude any added parts, accessories or installation unless otherwise noted. Sale prices include all applicable offers.   Top Features  Engine Features"
1 miles,"$4,799 ",MT-03,New 2022 Yamaha Standard,"2022 YAMAHA MT-03, SALE PRICE INCLUDES FACTORY TO DEALER INCENTIVES!Sale price is based on the manufacturer's suggested retail price (MSRP) and is subject to change.Sale price excludes destination charges, optional accessories, applicable taxes, installation, setup and/or other dealer fees.Some pictures may have options that are not included in the price!   Top Features  Engine Features"
1 miles,"$1,749 ",TT-R50E CA,New 2022 Yamaha Dirt Bike,"2022 YAMAHA TT-R50E CA, Advertised pricing excludes applicable taxes title and licensing, dealer set up, A.D.M, destination, reconditioning and are subject to change without notice. Pricing may exclude any added parts, accessories or installation unless otherwise noted. Sale prices include all applicable offers.   Top Features  Engine Features"
1 miles,"$7,899 ",MT-07,New 2022 Yamaha Standard,"2022 YAMAHA MT-07, SALE PRICE INCLUDES FACTORY TO DEALER INCENTIVES!Sale price is based on the manufacturer's suggested retail price (MSRP) and is subject to change.Sale price excludes destination charges, optional accessories, applicable taxes, installation, setup and/or other dealer fees.Some pictures may have options that are not included in the price!   Top Features"
,"$7,899 ",MT-07,New 2022 Yamaha Standard,"2022 Yamaha MT-07,   New 2022 Yamaha MT-07 Motorcycle For Sale In Lake Wales, FL  McKibben Powersports"
1 miles,"$16,299 ",Super Tenere ES,New 2022 Yamaha Dual Sport,"2022 Yamaha Super Tenere ES, STOP WAITING YOU DESERVE THIS! *Vehicles are subject to prior sale. Unit is Black. Offer can be terminated without notice and images are for illustration purposes only, accessories shown in pictures are not included in the selling price. Offer may be subject to mfg. guidelines, conditions & termination dates. Financing offer is W.A.C.: 1500-down, 280 a mo @ 8.74 A.P.R. for 75 mos. Sale price 15799 plus all applicable taxes, doc, and added dealer markup. Rebates or cashback are applied when applicable. Please note occasionally human error can occur, therefore we reserve the right to amend pricing errors without notice. See dealer for details. #YM1699   2022 Yamaha Super Tenere ES"
,"$8,500 ",YZ450FX,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ450FX, Power, Tuned To PerfectionWhether cutting through tight technical trails or blazing across the wide open desert, the class-defining YZ450FX takes off-road performance to new levels.Top FeaturesHigh Performance Four-Stroke Engine: The compact, powerful YZ450FX engine includes all the same race-developed technologies of the class-defining YZ450F motocrosser, tuned for cross country performance. A host of go-fast innovations include steep valve angles, aggressive cam profiles, high-compression forged piston with low friction rings, high-flow intake and exhaust systems—all thoughtfully packaged to optimize mass centralization.YZ450F-Based GNCC® and Hare Scrambles Foc  Racer: The YZ450FX is developed from Yamaha's flagship motocross model—the YZ450F—with many added features and unique settings that make the YZ450FX the ultimate GNCC®/Woods racer.Innovative Yamaha Power Tuner App: Yamaha's industry-leading Power Tuner app puts the flexibility and precision tunability of the GYTR® Power Tuner into your smartphone. Make fueling and ignition timing changes instantly and upload them to the bike for ultimate track-side tuning. Best of all, it's free-of-charge.Adjustable Engine Mapping: A handlebar-mounted map switch allows the rider to quickly select between preloaded engine maps—loaded and configured in the Power Tuner app—to account for changing riding conditions.Advanced Bilateral Aluminum Frame: The YZ450FX's advanced aluminum bilateral beam frame features precisely tuned flex characteristics that give riders the ultimate combination of cornering performance, traction feel and bump stability.Class-Leading Suspension: Yamaha's spring-type KYB® forks with refined, speed-sensitive damping and linkage-type rear suspension featuring a KYB® shock endow the YZ450FX with its renowned, class-defining suspension performance straight out of the box.High Performance Braking System: A rigid front caliper and compact rear caliper work with aggressive pad compounds and lightweight rotors to provide exceptional braking power and controllability, dissipate heat more efficiently, and reduce unsprung weight.Electric Starter System: Utilizing a compact starter motor and ultra-lightweight lithium battery, the YZ450FX maintains the convenience of push-button starting for effortless restarts under pressure, and more relaxed riding when the clock isn't ticking.Engine FeaturesRearward-Slanted Cylinder Design: The YZ450FX's distinct rearward-slanted cylinder design—complete with rear exhaust and forward-mounted down-draft intake system—features a cylinder head that works with the frame geometry for optimized weight distribution. Internally, the engine features a straight intake tract, aggressive cam profiles, a high-compression “box bridge"" piston design with DLC-coated piston pin and more. Finally, the YZ450FX features spec"
,"$5,299 ",YZF-R3,New 2022 Yamaha Sportbike,"2022 Yamaha YZF-R3,   2022 Yamaha YZF-R3 for sale at Riva Motorsports & Marine Florida Keys IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 48 months credit approval. Other options available. Contact us to apply."
,"$7,999 ",YZ250,  2022 Yamaha Dirt Bike,"2022 Yamaha YZ250, 2022 Yamaha YZ250"
,"$8,499 ",YZ250F,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ250F,   2022 Yamaha YZ250F dirt bike for sale at Riva Motorsports & Marine Florida Keys IN-STOCK! Own for as low as  with approved credit. Payment is based on 10.99% APR for 60 months credit approval. Other options available. Contact us to apply."
,"$7,999 ",YZ250 Monster Energy Yamaha Racing Edition,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ250 Monster Energy Yamaha Racing Edition,   2022 Yamaha YZ250 2-stroke dirtbike for sale at Riva Motorsports Miami Own for as low as  with approved credit. Payment is based on 5.99% APR for 60 months credit approval. Other options available. Contact us to apply."
1 miles,"$13,599 ",Tracer 9 GT,New 2022 Yamaha Touring,"2022 Yamaha Tracer 9 GT,  *Vehicles are subject to prior sale. Unit is Silver. Offer can be terminated without notice and images are for illustration purposes only, accessories shown in pictures are not included in the selling price. Offer may be subject to mfg. guidelines, conditions & termination dates. Financing offer is W.A.C.: 0-down, 270 a mo @ 8.74 A.P.R. for 75 mos. Sale price 13599 plus all applicable taxes, doc, and added dealer markup. Rebates or cashback are applied when applicable. Please note occasionally human error can occur, therefore we reserve the right to amend pricing errors without notice. See dealer for details. #YM1099   2022 Yamaha Tracer 9 GT"
,"$8,699 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2022 Yamaha Dirt Bike,"2022 Yamaha YZ250F Monster Energy Yamaha Racing Edition,   2022 Yamaha YZ250F Monster Energy Yamaha Racing Edition for sale at Riva Motorsports & Marine Florida Keys IN-STOCK! Own for as low as  with approved credit. Payment is based on 5.99% APR for 60 months credit approval. Other options available. Contact us to apply."
,"$8,995 ",WR 450F 450F,  2021 Yamaha Dirt Bike,"2021 Yamaha WR 450F 450F, *** Service History *** + 45 Point Inspection + Oil Change ******  DOHC 4-stroke; 4 valves  450cc  97.0mm x 60.8mm  Liquid  13.0:1  Mikuni fuel injection, 44mm  KYB Speed-Sensitive System inverted fork; fully adjustable, 12.2 in. travel  Hydraulic single disc brake, 270mm  80/100-21 Dunlop MX33  KYB single shock; fully adjustable, 12.5 in. travel  Hydraulic single disc brake, 245mm  120/90-18 Dunlop MX33  Curb Weight: 262 lb.  2.15 gal.  58.3 in.  12.6 in.  37.6 in.  4.6 in.  27.0 deg.  Wide-ratio 5-speed; wet multiplate clutch  O-ring chain  Team Yamaha Blue"
"37,501 miles","$7,999 ",FJ09 900 W/ABS,  2015 Yamaha Sport Touring,"2015 YAMAHA FJ09 900 W/ABS, We provide more detailed information as well as additional photos on our website. To view that information, please click on the ""view website"" link in the details section below. Most of our bikes are sold fully serviced, detailed and have a nationwide warranty of up to 90-days. And yes, we also take trades!"
,"$6,980 ",Bolt C-Spec,  2015 Yamaha Cruiser,"2015 Yamaha Bolt C-Spec, 2015 Yamaha Bolt™ R-Spec"
"25,983 miles","$8,199 ",Royal Star Venture S,  2011 Yamaha Touring,
"42,878 miles","$7,990 ",FJR 1300A 1300 A,  2010 Yamaha Sport Touring,"2010 Yamaha FJR 1300A, EXCELLENT SHAPE, HARD TO FIND! HURRY IN! LOW MILES!!!!"
"31,297 miles","$2,900 ",V STAR 650 CLASSIC,  2009 Yamaha Cruiser,
"21,151 miles","$6,990 ",Road Star Silverado,  2007 Yamaha Cruiser,"2007 Yamaha Road Star Silverado, SWEET PIECE!! PAINTED HARD BAGS!!! 1700cc! HURRY IN! @MOTORCYCLE MAXX!!"
"36,800 miles","$5,180 ",Royal Star Tour Deluxe,  2007 Yamaha Touring,"2007 Yamaha Royal Star Tour Deluxe,"
"2,490 miles","$3,999 ",XF50Y C3,  2007 Yamaha Moped,
"15,731 miles","$4,950 ",Royal Star Tour Deluxe,  2005 Yamaha Touring,"2005 Yamaha Royal Star Tour Deluxe,"
"45,312 miles","$2,995 ",V-STAR 1100 CLASSIC,  2003 Yamaha Trike,"2003 Yamaha V-STAR 1100 CLASSIC,"
"45,312 miles","$2,995 ",V-STAR 1100 CLASSIC,  2003 Yamaha Trike,"2003 Yamaha V-STAR 1100 CLASSIC,"
"45,312 miles","$2,995 ",V-STAR 1100 CLASSIC,  2003 Yamaha Trike,"2003 Yamaha V-STAR 1100 CLASSIC,"
,"$8,297 ",YZ250F Monster Energy Yamaha Racing Edition 250 MONSTER ENERGY YAMAHA RACING EDITION,New 2023 Yamaha Mx,
,"$9,499 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$9,499 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$9,499 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$5,799 ",YZF-R3 ABS,New 2023 Yamaha Sportbike,
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,
,"$3,799 ",Zuma 125,New 2023 Yamaha Moped,"2023 YAMAHA Zuma 125,    Top Features  Engine Features"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7,    Top Features  Engine Features"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7,    Top Features  Engine Features"
,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7,    Top Features  Engine Features"
1 miles,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7,    Top Features  Engine Features"
1 miles,"$9,199 ",YZF-R7,New 2023 Yamaha Sportbike,"2023 YAMAHA YZF-R7,    Top Features  Engine Features"
